,entry_discipline,entry_category,entry_rank,athlete_firstname,athlete_lastname,athlete_country,athlete_speed_personal_best_score,event_name,event_location,event_year,event_month,event_day,athlete_age_at_event,athlete_max_rank,athlete_country_total_gold,athlete_country_total_silver,athlete_country_total_bronze,athlete_country_population,athlete_fullname,athlete_country_gold_per_capita,athlete_country_silver_per_capita,athlete_country_bronze_per_capita,athlete_golds_per_discipline
2527,speed,women,5,Elizaveta,IVANOVA,RUS,7.3,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,21,2,52,64,66,143533851,"IVANOVA, Elizaveta",3.622838768535514,4.458878484351402,4.598218436987383,0
2528,speed,women,6,Victoire,ANDRIER,FRA,7.23,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,25,1,63,60,59,68516699,"ANDRIER, Victoire",9.19483876478054,8.75698929979099,8.611039478127806,1
2529,speed,women,8,Giulia,RANDI ,ITA,6.85,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,18,1,24,21,23,58986023,"RANDI , Giulia",4.068760492633992,3.5601654310547435,3.8992288054409094,1
2530,speed,women,9,Tetiana,KOLKOTINA,UKR,8.25,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,28,9,14,25,20,37860221,"KOLKOTINA, Tetiana",3.697812540502603,6.603236679468934,5.282589343575147,0
2531,speed,women,10,Sofiia,HLADKA,UKR,8.96,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,17,7,14,25,20,37860221,"HLADKA, Sofiia",3.697812540502603,6.603236679468934,5.282589343575147,0
2532,speed,men,1,Guillaume,MORO,FRA,5.25,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,26,1,63,60,59,68516699,"MORO, Guillaume",9.19483876478054,8.75698929979099,8.611039478127806,1
2533,speed,men,2,Yaroslav,TKACH,UKR,5.09,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,19,1,14,25,20,37860221,"TKACH, Yaroslav",3.697812540502603,6.603236679468934,5.282589343575147,2
2534,speed,men,3,Alessandro,CINGARI,ITA,5.78,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,22,3,24,21,23,58986023,"CINGARI, Alessandro",4.068760492633992,3.5601654310547435,3.8992288054409094,0
2535,speed,men,5,Erik,NOYA CARDONA,ESP,5.01,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,27,1,13,15,10,48807137,"NOYA CARDONA, Erik",2.6635448827904,3.073321018604308,2.048880679069539,3
2536,speed,men,6,Alejandro,RIVAS DOMÍNGUEZ,ESP,5.75,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,19,4,13,15,10,48807137,"RIVAS DOMÍNGUEZ, Alejandro",2.6635448827904,3.073321018604308,2.048880679069539,0
2537,speed,men,7,Aleksandr,SHIKOV,RUS,5.54,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,24,1,52,64,66,143533851,"SHIKOV, Aleksandr",3.622838768535514,4.458878484351402,4.598218436987383,3
2538,speed,men,8,Kostiantyn,PAVLENKO,UKR,5.13,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,22,1,14,25,20,37860221,"PAVLENKO, Kostiantyn",3.697812540502603,6.603236679468934,5.282589343575147,1
2539,speed,men,9,Sebastian,LUCKE,DEU,5.24,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,18,2,16,17,21,83510950,"LUCKE, Sebastian",1.9159164157514674,2.035661191735934,2.514640295673801,0
2540,speed,men,10,Lukas,KNAPP,AUT,5.44,IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,Innsbruck,2021,6,22,24,1,25,35,33,9178482,"KNAPP, Lukas",27.237619466922744,38.13266725369184,35.95365769633802,1
2541,boulder,women,1,Janja,GARNBRET,SVN,7.81,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Meiringen,2021,4,15,22,1,67,40,33,2126324,"GARNBRET, Janja",315.0977931867392,188.1180854846204,155.19742052481183,19
2542,boulder,women,3,Natalia,GROSSMAN,USA,9.15,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Meiringen,2021,4,15,19,1,39,29,28,340110988,"GROSSMAN, Natalia",1.146684505235685,0.852662837226535,0.82326067042562,12
2543,boulder,women,4,Akiyo,NOGUCHI,JPN,8.23,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Meiringen,2021,4,15,31,1,79,96,77,123975371,"NOGUCHI, Akiyo",6.372233401100289,7.743473500071236,6.210911036515471,10
2544,boulder,women,5,Vita,LUKAN,SVN,13.22,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Meiringen,2021,4,15,20,1,67,40,33,2126324,"LUKAN, Vita",315.0977931867392,188.1180854846204,155.19742052481183,0
2545,boulder,women,6,Katja,DEBEVEC,SVN,10.93,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Meiringen,2021,4,15,25,1,67,40,33,2126324,"DEBEVEC, Katja",315.0977931867392,188.1180854846204,155.19742052481183,1
2546,boulder,women,7,Miho,NONAKA,JPN,7.55,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Meiringen,2021,4,15,23,1,79,96,77,123975371,"NONAKA, Miho",6.372233401100289,7.743473500071236,6.210911036515471,9
2547,boulder,women,8,Andrea,KÜMIN,CHE,10.92,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Meiringen,2021,4,15,23,3,4,5,2,9034102,"KÜMIN, Andrea",4.42766752024717,5.534584400308963,2.213833760123585,0
2548,boulder,women,9,Brooke,RABOUTOU,USA,8.67,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Meiringen,2021,4,15,20,1,39,29,28,340110988,"RABOUTOU, Brooke",1.146684505235685,0.852662837226535,0.82326067042562,1
2549,boulder,women,10,Lucka,RAKOVEC,SVN,10.43,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Meiringen,2021,4,15,19,1,67,40,33,2126324,"RAKOVEC, Lucka",315.0977931867392,188.1180854846204,155.19742052481183,0
